Time_Col,X,Y,Z,Output
0,-0.013681,-0.022387,-0.009311,H_20Hz
0.000039,-0.015401,-0.01906,-0.006638,H_20Hz
0.000078,-0.014361,-0.022234,-0.001693,H_20Hz
0.000117,-0.011646,-0.023983,0.005178,H_20Hz
0.000156,-0.014748,-0.019926,0.002546,H_20Hz
0.000195,-0.017169,-0.018343,-0.001627,H_20Hz
0.000234,-0.016275,-0.018276,0.000812,H_20Hz
0.000273,-0.016716,-0.014063,-0.007362,H_20Hz
0.000313,-0.020859,-0.012492,-0.013888,H_20Hz
0.000352,-0.016244,-0.014134,-0.009876,H_20Hz
0.000391,-0.012956,-0.018545,-0.008258,H_20Hz
0.00043,-0.012343,-0.023541,-0.009292,H_20Hz
0.000469,-0.010472,-0.029124,-0.003575,H_20Hz
0.000508,-0.009993,-0.027316,-0.00111,H_20Hz
0.000547,-0.012346,-0.021969,-0.005662,H_20Hz
0.000586,-0.022766,-0.017902,-0.004434,H_20Hz
0.000625,-0.033002,-0.007355,-0.002591,H_20Hz
0.000664,-0.041578,-0.004869,-0.002897,H_20Hz
0.000703,-0.044137,-0.00602,0.000946,H_20Hz
0.000742,-0.046406,-0.007538,0.002827,H_20Hz
0.000781,-0.043827,-0.010823,0.005792,H_20Hz
0.00082,-0.030371,-0.008489,0.005024,H_20Hz
0.000859,-0.021635,0.00037,-0.004132,H_20Hz
0.000898,-0.014165,0.010482,-0.005738,H_20Hz
0.000937,-0.006249,0.00779,-0.010274,H_20Hz
0.000977,-0.005054,0.001775,-0.012269,H_20Hz
0.001016,-0.010974,-0.004986,-0.003034,H_20Hz
0.001055,-0.013614,-0.016085,0.002368,H_20Hz
0.001094,-0.020426,-0.01968,0.001585,H_20Hz
0.001133,-0.039099,-0.017418,-0.002649,H_20Hz
0.001172,-0.043915,-0.012661,-0.001983,H_20Hz
0.001211,-0.04147,-0.007367,-0.005538,H_20Hz
0.00125,-0.041121,-0.005737,-0.008941,H_20Hz
0.001289,-0.033303,-0.009722,-0.003253,H_20Hz
0.001328,-0.029025,-0.016716,-0.003537,H_20Hz
0.001367,-0.024667,-0.021037,-0.004102,H_20Hz
0.001406,-0.016715,-0.021128,-0.002466,H_20Hz
0.001445,-0.012754,-0.014635,-0.00531,H_20Hz
0.001484,-0.013286,-0.007167,-0.010208,H_20Hz
0.001523,-0.013517,-0.002655,-0.014377,H_20Hz
0.001563,-0.020492,0.002022,-0.012792,H_20Hz
0.001602,-0.034196,-0.000827,-0.0132,H_20Hz
0.001641,-0.03631,-0.009201,-0.012783,H_20Hz
0.00168,-0.038268,-0.015126,-0.006942,H_20Hz
0.001719,-0.037466,-0.021148,-0.006175,H_20Hz
0.001758,-0.025795,-0.028399,-0.006586,H_20Hz
0.001797,-0.021907,-0.033674,-0.00974,H_20Hz
0.001836,-0.018668,-0.032354,-0.011647,H_20Hz
0.001875,-0.009746,-0.030508,-0.012009,H_20Hz
0.001914,-0.006867,-0.027483,-0.016861,H_20Hz
0.001953,-0.010908,-0.020075,-0.018461,H_20Hz
0.001992,-0.00772,-0.014696,-0.0167,H_20Hz
0.002031,-0.005783,-0.010239,-0.014681,H_20Hz
0.00207,-0.016049,-0.006489,-0.011406,H_20Hz
0.002109,-0.020437,-0.003093,-0.009163,H_20Hz
0.002148,-0.021757,-0.000268,-0.013018,H_20Hz
0.002188,-0.024037,0.003563,-0.013502,H_20Hz
0.002227,-0.028328,0.007422,-0.012093,H_20Hz
0.002266,-0.033956,0.005853,-0.018315,H_20Hz
0.002305,-0.03537,0.003454,-0.020647,H_20Hz
0.002344,-0.034565,0.00267,-0.018796,H_20Hz
0.002383,-0.023637,-0.001666,-0.016987,H_20Hz
0.002422,-0.014544,-0.00784,-0.015106,H_20Hz
0.002461,-0.015201,-0.011171,-0.012938,H_20Hz
0.0025,-0.015508,-0.011573,-0.007909,H_20Hz
0.002539,-0.011351,-0.00478,-0.011032,H_20Hz
0.002578,-0.012503,0.003312,-0.017661,H_20Hz
0.002617,-0.021831,0.003747,-0.019731,H_20Hz
0.002656,-0.018904,0.003129,-0.020009,H_20Hz
0.002695,-0.011545,0.001757,-0.017813,H_20Hz
0.002734,-0.01358,-0.000389,-0.012041,H_20Hz
0.002773,-0.014675,-0.003023,-0.011397,H_20Hz
0.002812,-0.016362,-0.004559,-0.020118,H_20Hz
0.002852,-0.022588,0.000125,-0.017682,H_20Hz
0.002891,-0.02491,0.002631,-0.013118,H_20Hz
0.00293,-0.025689,-0.002242,-0.021589,H_20Hz
0.002969,-0.026447,-0.010759,-0.02252,H_20Hz
0.003008,-0.025101,-0.017856,-0.010434,H_20Hz
0.003047,-0.023815,-0.024928,-0.008779,H_20Hz
0.003086,-0.022977,-0.028471,-0.009169,H_20Hz
0.003125,-0.026477,-0.02593,-0.0097,H_20Hz
0.003164,-0.029372,-0.017578,-0.014985,H_20Hz
0.003203,-0.027932,-0.004561,-0.01611,H_20Hz
0.003242,-0.027686,-0.004226,-0.021472,H_20Hz
0.003281,-0.027549,-0.01445,-0.013051,H_20Hz
0.00332,-0.02166,-0.022028,-0.006428,H_20Hz
0.003359,-0.018318,-0.027648,-0.009073,H_20Hz
0.003398,-0.018618,-0.032154,-0.005079,H_20Hz
0.003438,-0.018801,-0.033011,-0.004057,H_20Hz
0.003477,-0.0186,-0.032013,-0.012409,H_20Hz
0.003516,-0.01441,-0.030263,-0.019921,H_20Hz
0.003555,-0.011667,-0.02789,-0.011221,H_20Hz
0.003594,-0.008004,-0.032427,-0.014787,H_20Hz
0.003633,-0.008748,-0.035681,-0.01757,H_20Hz
0.003672,-0.009746,-0.028809,-0.007672,H_20Hz
0.003711,-0.010703,-0.022252,-0.008474,H_20Hz
0.00375,-0.014858,-0.016023,-0.010652,H_20Hz
0.003789,-0.017437,-0.01229,-0.018476,H_20Hz
0.003828,-0.019011,-0.012336,-0.018096,H_20Hz
0.003867,-0.017652,-0.008596,-0.008004,H_20Hz
0.003906,-0.024709,-0.008147,-0.013736,H_20Hz
0.003945,-0.028091,-0.010417,-0.017865,H_20Hz
0.003984,-0.033221,-0.003355,-0.008334,H_20Hz
0.004023,-0.034784,0.011248,-0.013139,H_20Hz
0.004063,-0.021383,0.022568,-0.023803,H_20Hz
0.004102,-0.016426,0.027069,-0.020584,H_20Hz
0.004141,-0.00863,0.025156,-0.023359,H_20Hz
0.00418,0.00382,0.023968,-0.023727,H_20Hz
0.004219,0.009615,0.024612,-0.022447,H_20Hz
0.004258,0.00855,0.023266,-0.023931,H_20Hz
0.004297,0.005464,0.024302,-0.024098,H_20Hz
0.004336,-0.002821,0.02981,-0.029255,H_20Hz
0.004375,-0.01285,0.036955,-0.02862,H_20Hz
0.004414,-0.019348,0.039691,-0.030883,H_20Hz
0.004453,-0.02565,0.03934,-0.033389,H_20Hz
0.004492,-0.022173,0.037555,-0.022819,H_20Hz
0.004531,-0.017652,0.031834,-0.015745,H_20Hz
0.00457,-0.015599,0.025086,-0.018244,H_20Hz
0.004609,-0.011756,0.018351,-0.015042,H_20Hz
0.004648,-0.003704,0.011854,-0.01728,H_20Hz
0.004687,0.003932,0.01413,-0.021972,H_20Hz
0.004727,0.010063,0.017688,-0.023584,H_20Hz
0.004766,0.013631,0.01535,-0.033561,H_20Hz
0.004805,0.004921,0.013645,-0.031722,H_20Hz
0.004844,-0.000839,0.011059,-0.024233,H_20Hz
0.004883,-0.007527,0.002871,-0.021583,H_20Hz
0.004922,-0.01528,-0.008478,-0.012908,H_20Hz
0.004961,-0.016865,-0.014671,-0.0107,H_20Hz
0.005,-0.014167,-0.018585,-0.015822,H_20Hz
0.005039,-0.008207,-0.019476,-0.014459,H_20Hz
0.005078,-0.008348,-0.021411,-0.016408,H_20Hz
0.005117,-0.004007,-0.027368,-0.021881,H_20Hz
0.005156,0.001188,-0.029772,-0.015711,H_20Hz
0.005195,0.000192,-0.032339,-0.008958,H_20Hz
0.005234,-0.004434,-0.034386,-0.00992,H_20Hz
0.005273,-0.013805,-0.031511,-0.010534,H_20Hz
0.005313,-0.024296,-0.02457,-0.015761,H_20Hz
0.005352,-0.031429,-0.017656,-0.017183,H_20Hz
0.005391,-0.03021,-0.01494,-0.015289,H_20Hz
0.00543,-0.026823,-0.019203,-0.02235,H_20Hz
0.005469,-0.024414,-0.028353,-0.018719,H_20Hz
